Date,Product_code,Quantity,Total_Sale
2022-11-16,D1003,12.0,120.0
2022-11-17,A1001,1.0,167.0
2022-11-17,A1002,3.0,300.0
2022-11-17,A1004,7.0,973.0
2022-11-17,A1034,4.0,1400.0
2022-11-17,B1002,15.0,300.0
2022-11-17,B1003,22.0,330.0
2022-11-17,D1003,12.0,120.0
2022-11-18,A1001,1.0,167.0
2022-11-18,A1002,4.0,400.0
2022-11-18,A1004,3.0,417.0
2022-11-18,A1034,3.0,1050.0
2022-11-18,B1002,11.0,220.0
2022-11-18,B1003,19.0,285.0
2022-11-18,D1003,12.0,120.0
2022-11-19,A1001,1.0,150.0
2022-11-19,A1002,3.0,272.0
2022-11-19,A1004,4.0,556.0
2022-11-19,A1034,4.0,1400.0
2022-11-19,B1002,7.0,140.0
2022-11-19,B1003,22.0,330.0
2022-11-19,D1003,12.0,120.0
2022-11-20,A1001,1.0,167.0
2022-11-20,A1002,3.0,272.0
2022-11-20,A1004,3.0,349.0
2022-11-20,A1034,3.0,923.0
2022-11-20,B1002,10.0,209.0
2022-11-20,B1003,18.0,275.0
2022-11-20,D1003,8.0,75.0
2022-11-21,A1001,1.0,167.0
2022-11-21,A1002,2.0,200.0
2022-11-21,A1004,3.0,349.0
2022-11-21,A1034,2.0,700.0
2022-11-21,B1002,7.0,140.0
2022-11-21,B1003,19.0,285.0
2022-11-21,D1003,13.0,130.0
2022-11-22,A1001,1.0,167.0
2022-11-22,A1002,2.0,200.0
2022-11-22,A1004,3.0,349.0
2022-11-22,A1034,2.0,700.0
2022-11-22,B1002,12.0,240.0
2022-11-22,B1003,23.0,345.0
2022-11-22,D1003,7.0,70.0
2022-11-23,A1001,3.0,450.0
2022-11-23,A1002,5.0,500.0
2022-11-23,A1004,4.0,556.0
2022-11-23,A1034,3.0,1050.0
2022-11-23,B1002,13.0,260.0
2022-11-23,B1003,33.0,495.0
2022-11-23,D1003,9.0,90.0
2022-11-24,A1001,1.0,167.0
2022-11-24,A1002,3.0,272.0
2022-11-24,A1004,3.0,349.0
2022-11-24,A1034,3.0,923.0
2022-11-24,B1002,10.0,209.0
2022-11-24,B1003,6.0,90.0
2022-11-24,D1003,5.0,50.0
2022-11-25,A1001,1.0,167.0
2022-11-25,A1002,5.0,500.0
2022-11-25,A1004,2.0,278.0
2022-11-25,A1034,3.0,1050.0
2022-11-25,B1002,16.0,320.0
2022-11-25,B1003,24.0,360.0
2022-11-25,D1003,5.0,50.0
2022-11-26,A1001,1.0,150.0
2022-11-26,A1002,2.0,200.0
2022-11-26,A1004,2.0,278.0
2022-11-26,A1034,2.0,700.0
2022-11-26,B1002,7.0,140.0
2022-11-26,B1003,18.0,270.0
2022-11-26,D1003,8.0,75.0
2022-11-27,A1001,1.0,167.0
2022-11-27,A1002,3.0,272.0
2022-11-27,A1004,3.0,349.0
2022-11-27,A1034,3.0,923.0
2022-11-27,B1002,10.0,209.0
2022-11-27,B1003,18.0,275.0
2022-11-27,D1003,8.0,75.0
2022-11-28,A1001,2.0,300.0
2022-11-28,A1002,5.0,500.0
2022-11-28,A1004,3.0,417.0
2022-11-28,A1034,3.0,1050.0
2022-11-28,B1002,16.0,320.0
2022-11-28,B1003,33.0,495.0
2022-11-28,D1003,25.0,250.0
2022-11-29,A1001,1.0,167.0
2022-11-29,A1002,3.0,272.0
2022-11-29,A1004,1.0,139.0
2022-11-29,A1034,1.0,350.0
2022-11-29,B1002,5.0,100.0
2022-11-29,B1003,13.0,195.0
2022-11-29,D1003,7.0,70.0
2022-11-30,A1001,3.0,450.0
2022-11-30,A1002,5.0,500.0
2022-11-30,A1004,4.0,556.0
2022-11-30,A1034,3.0,1050.0
2022-11-30,B1002,15.0,300.0
2022-11-30,B1003,31.0,465.0
2022-11-30,D1003,9.0,90.0
2022-12-01,A1001,1.0,150.0
2022-12-01,A1002,5.0,500.0
2022-12-01,A1004,6.0,834.0
2022-12-01,A1034,4.0,1400.0
2022-12-01,B1002,12.0,240.0
2022-12-01,B1003,25.0,375.0
2022-12-01,D1003,11.0,110.0
2022-12-02,A1001,1.0,150.0
2022-12-02,A1002,4.0,400.0
2022-12-02,A1004,7.0,973.0
2022-12-02,A1034,1.0,350.0
2022-12-02,B1002,7.0,140.0
2022-12-02,B1003,19.0,285.0
2022-12-02,D1003,11.0,110.0
2022-12-03,A1001,6.0,900.0
2022-12-03,A1002,3.0,272.0
2022-12-03,A1004,10.0,1390.0
2022-12-03,A1034,3.0,1050.0
2022-12-03,B1002,16.0,320.0
2022-12-03,B1003,43.0,645.0
2022-12-03,D1003,11.0,110.0
2022-12-04,A1001,1.0,167.0
2022-12-04,A1002,3.0,272.0
2022-12-04,A1004,3.0,349.0
2022-12-04,A1034,3.0,923.0
2022-12-04,B1002,10.0,209.0
2022-12-04,B1003,18.0,275.0
2022-12-04,D1003,8.0,75.0
2022-12-05,A1001,1.0,150.0
2022-12-05,A1002,4.0,400.0
2022-12-05,A1004,4.0,556.0
2022-12-05,A1034,1.0,350.0
2022-12-05,B1002,8.0,160.0
2022-12-05,B1003,15.0,225.0
2022-12-05,D1003,11.0,110.0
2022-12-06,A1001,2.0,300.0
2022-12-06,A1002,3.0,272.0
2022-12-06,A1004,5.0,695.0
2022-12-06,A1034,2.0,700.0
2022-12-06,B1002,5.0,100.0
2022-12-06,B1003,18.0,270.0
2022-12-06,D1003,11.0,110.0
2022-12-07,A1001,1.0,150.0
2022-12-07,A1002,4.0,400.0
2022-12-07,A1004,4.0,556.0
2022-12-07,A1034,1.0,350.0
2022-12-07,B1002,6.0,120.0
2022-12-07,B1003,17.0,255.0
2022-12-07,D1003,11.0,110.0
2022-12-08,A1001,2.0,300.0
2022-12-08,A1002,3.0,272.0
2022-12-08,A1004,2.0,278.0
2022-12-08,A1034,4.0,1400.0
2022-12-08,B1002,8.0,160.0
2022-12-08,B1003,15.0,225.0
2022-12-08,D1003,9.0,90.0
2022-12-09,A1001,1.0,150.0
2022-12-09,A1002,2.0,200.0
2022-12-09,A1004,2.0,278.0
2022-12-09,A1034,1.0,350.0
2022-12-09,B1002,4.0,80.0
2022-12-09,B1003,11.0,165.0
2022-12-09,D1003,9.0,90.0
2022-12-10,A1001,2.0,300.0
2022-12-10,A1002,5.0,500.0
2022-12-10,A1004,3.0,417.0
2022-12-10,A1034,4.0,1400.0
2022-12-10,B1002,12.0,240.0
2022-12-10,B1003,24.0,360.0
2022-12-10,D1003,9.0,90.0
2022-12-11,A1001,1.0,150.0
2022-12-11,A1002,3.0,272.0
2022-12-11,A1004,3.0,417.0
2022-12-11,A1034,5.0,1750.0
2022-12-11,B1002,15.0,300.0
2022-12-11,B1003,26.0,390.0
2022-12-11,D1003,17.0,170.0
2022-12-12,A1001,1.0,167.0
2022-12-12,A1002,3.0,272.0
2022-12-12,A1004,3.0,349.0
2022-12-12,A1034,3.0,923.0
2022-12-12,B1002,10.0,209.0
2022-12-12,B1003,18.0,275.0
2022-12-12,D1003,8.0,75.0
2022-12-13,A1001,1.0,150.0
2022-12-13,A1002,5.0,500.0
2022-12-13,A1004,7.0,973.0
2022-12-13,A1034,6.0,2100.0
2022-12-13,B1002,10.0,200.0
2022-12-13,B1003,24.0,360.0
2022-12-13,D1003,12.0,120.0
2022-12-14,A1001,1.0,167.0
2022-12-14,A1002,5.0,500.0
2022-12-14,A1004,2.0,278.0
2022-12-14,A1034,4.0,1400.0
2022-12-14,B1002,14.0,280.0
2022-12-14,B1003,26.0,390.0
2022-12-14,D1003,9.0,90.0
2022-12-15,A1001,1.0,150.0
2022-12-15,A1002,3.0,300.0
2022-12-15,A1004,3.0,417.0
2022-12-15,A1034,7.0,2450.0
2022-12-15,B1002,13.0,260.0
2022-12-15,B1003,15.0,225.0
2022-12-15,D1003,8.0,75.0
2022-12-16,A1001,2.0,300.0
2022-12-16,A1002,3.0,272.0
2022-12-16,A1004,5.0,695.0
2022-12-16,A1034,2.0,700.0
2022-12-16,B1002,5.0,100.0
2022-12-16,B1003,18.0,270.0
2022-12-16,D1003,11.0,110.0
2022-12-17,A1001,2.0,300.0
2022-12-17,A1002,3.0,272.0
2022-12-17,A1004,5.0,695.0
2022-12-17,A1034,4.0,1400.0
2022-12-17,B1002,6.0,120.0
2022-12-17,B1003,13.0,195.0
2022-12-17,D1003,8.0,80.0
2022-12-18,A1001,1.0,167.0
2022-12-18,A1002,3.0,272.0
2022-12-18,A1004,3.0,349.0
2022-12-18,A1034,3.0,923.0
2022-12-18,B1002,10.0,209.0
2022-12-18,B1003,18.0,275.0
2022-12-18,D1003,8.0,75.0
2022-12-19,A1001,6.0,900.0
2022-12-19,A1002,3.0,272.0
2022-12-19,A1004,10.0,1390.0
2022-12-19,A1034,5.0,1750.0
2022-12-19,B1002,19.0,380.0
2022-12-19,B1003,26.0,390.0
2022-12-19,D1003,11.0,110.0
2022-12-20,A1001,2.0,300.0
2022-12-20,A1002,7.0,700.0
2022-12-20,A1004,3.0,417.0
2022-12-20,A1034,5.0,1750.0
2022-12-20,B1002,17.0,340.0
2022-12-20,B1003,33.0,495.0
2022-12-20,D1003,25.0,250.0
2022-12-21,A1001,2.0,300.0
2022-12-21,A1002,3.0,300.0
2022-12-21,A1004,3.0,417.0
2022-12-21,A1034,7.0,2450.0
2022-12-21,B1002,17.0,340.0
2022-12-21,B1003,26.0,390.0
2022-12-21,D1003,8.0,75.0
2022-12-22,A1001,1.0,150.0
2022-12-22,A1002,3.0,272.0
2022-12-22,A1004,3.0,417.0
2022-12-22,A1034,5.0,1750.0
2022-12-22,B1002,12.0,240.0
2022-12-22,B1003,20.0,300.0
2022-12-22,D1003,13.0,130.0
2022-12-23,A1001,2.0,300.0
2022-12-23,A1002,3.0,300.0
2022-12-23,A1004,3.0,417.0
2022-12-23,A1034,5.0,1750.0
2022-12-23,B1002,12.0,240.0
2022-12-23,B1003,23.0,345.0
2022-12-23,D1003,9.0,90.0
2022-12-24,A1001,1.0,167.0
2022-12-24,A1002,3.0,272.0
2022-12-24,A1004,3.0,349.0
2022-12-24,A1034,3.0,923.0
2022-12-24,B1002,10.0,209.0
2022-12-24,B1003,18.0,275.0
2022-12-24,D1003,8.0,75.0
2022-12-25,A1001,1.0,167.0
2022-12-25,A1002,3.0,272.0
2022-12-25,A1004,3.0,349.0
2022-12-25,A1034,3.0,923.0
2022-12-25,B1002,10.0,209.0
2022-12-25,B1003,18.0,275.0
2022-12-25,D1003,8.0,75.0
2022-12-26,A1001,2.0,300.0
2022-12-26,A1002,7.0,700.0
2022-12-26,A1004,3.0,417.0
2022-12-26,A1034,6.0,2100.0
2022-12-26,B1002,14.0,280.0
2022-12-26,B1003,28.0,420.0
2022-12-26,D1003,14.0,140.0
2022-12-27,A1001,2.0,300.0
2022-12-27,A1002,3.0,272.0
2022-12-27,A1004,5.0,695.0
2022-12-27,A1034,4.0,1400.0
2022-12-27,B1002,9.0,180.0
2022-12-27,B1003,17.0,255.0
2022-12-27,D1003,10.0,100.0
2022-12-28,A1001,3.0,450.0
2022-12-28,A1002,3.0,272.0
2022-12-28,A1004,10.0,1390.0
2022-12-28,A1034,5.0,1750.0
2022-12-28,B1002,24.0,480.0
2022-12-28,B1003,31.0,465.0
2022-12-28,D1003,11.0,110.0
2022-12-29,A1001,1.0,150.0
2022-12-29,A1002,5.0,500.0
2022-12-29,A1004,1.0,139.0
2022-12-29,A1034,6.0,2100.0
2022-12-29,B1002,4.0,80.0
2022-12-29,B1003,12.0,180.0
2022-12-29,D1003,7.0,70.0
2022-12-30,A1001,1.0,167.0
2022-12-30,A1002,3.0,272.0
2022-12-30,A1004,3.0,349.0
2022-12-30,A1034,3.0,923.0
2022-12-30,B1002,10.0,209.0
2022-12-30,B1003,18.0,275.0
2022-12-30,D1003,8.0,75.0
2022-12-31,A1001,1.0,167.0
2022-12-31,A1002,3.0,272.0
2022-12-31,A1004,3.0,349.0
2022-12-31,A1034,3.0,923.0
2022-12-31,B1002,10.0,209.0
2022-12-31,B1003,18.0,275.0
2022-12-31,D1003,8.0,75.0
2023-01-01,A1001,1.0,167.0
2023-01-01,A1002,3.0,272.0
2023-01-01,A1004,3.0,349.0
2023-01-01,A1034,3.0,923.0
2023-01-01,B1002,10.0,209.0
2023-01-01,B1003,18.0,275.0
2023-01-01,D1003,8.0,75.0
2023-01-02,A1001,1.0,167.0
2023-01-02,A1002,3.0,272.0
2023-01-02,A1004,3.0,349.0
2023-01-02,A1034,3.0,923.0
2023-01-02,B1002,10.0,209.0
2023-01-02,B1003,18.0,275.0
2023-01-02,D1003,8.0,75.0
2023-01-03,A1001,1.0,150.0
2023-01-03,A1002,5.0,500.0
2023-01-03,A1004,3.0,417.0
2023-01-03,A1034,8.0,2800.0
2023-01-03,B1002,32.0,640.0
2023-01-03,B1003,32.0,480.0
2023-01-03,D1003,17.0,170.0
2023-01-04,A1001,2.0,300.0
2023-01-04,A1002,7.0,700.0
2023-01-04,A1004,3.0,417.0
2023-01-04,A1034,6.0,2100.0
2023-01-04,B1002,25.0,500.0
2023-01-04,B1003,36.0,540.0
2023-01-04,D1003,14.0,140.0
2023-01-05,A1001,1.0,150.0
2023-01-05,A1002,3.0,272.0
2023-01-05,A1004,3.0,417.0
2023-01-05,A1034,5.0,1750.0
2023-01-05,B1002,14.0,280.0
2023-01-05,B1003,22.0,330.0
2023-01-05,D1003,14.0,140.0
2023-01-06,A1001,1.0,150.0
2023-01-06,A1002,4.0,400.0
2023-01-06,A1004,3.0,417.0
2023-01-06,A1034,3.0,1050.0
2023-01-06,B1002,7.0,140.0
2023-01-06,B1003,19.0,285.0
2023-01-06,D1003,12.0,120.0
2023-01-07,A1001,1.0,167.0
2023-01-07,A1002,3.0,272.0
2023-01-07,A1004,3.0,349.0
2023-01-07,A1034,3.0,923.0
2023-01-07,B1002,10.0,209.0
2023-01-07,B1003,18.0,275.0
2023-01-07,D1003,8.0,75.0
2023-01-08,A1001,1.0,167.0
2023-01-08,A1002,3.0,272.0
2023-01-08,A1004,3.0,349.0
2023-01-08,A1034,3.0,923.0
2023-01-08,B1002,10.0,209.0
2023-01-08,B1003,18.0,275.0
2023-01-08,D1003,8.0,75.0
2023-01-09,A1001,3.0,450.0
2023-01-09,A1002,7.0,700.0
2023-01-09,A1004,5.0,695.0
2023-01-09,A1034,5.0,1750.0
2023-01-09,B1002,17.0,340.0
2023-01-09,B1003,34.0,510.0
2023-01-09,D1003,15.0,150.0
2023-01-10,A1001,1.0,167.0
2023-01-10,A1002,5.0,500.0
2023-01-10,A1004,1.0,139.0
2023-01-10,A1034,1.0,350.0
2023-01-10,B1002,5.0,100.0
2023-01-10,B1003,13.0,195.0
2023-01-10,D1003,6.0,60.0
2023-01-11,A1001,3.0,450.0
2023-01-11,A1002,7.0,700.0
2023-01-11,A1004,2.0,278.0
2023-01-11,A1034,4.0,1400.0
2023-01-11,B1002,11.0,220.0
2023-01-11,B1003,28.0,420.0
2023-01-11,D1003,8.0,80.0
2023-01-12,A1001,1.0,150.0
2023-01-12,A1002,4.0,400.0
2023-01-12,A1004,4.0,556.0
2023-01-12,A1034,3.0,1050.0
2023-01-12,B1002,9.0,180.0
2023-01-12,B1003,24.0,360.0
2023-01-12,D1003,11.0,110.0
2023-01-13,A1001,2.0,300.0
2023-01-13,A1002,3.0,300.0
2023-01-13,A1004,2.0,278.0
2023-01-13,A1034,4.0,1400.0
2023-01-13,B1002,12.0,240.0
2023-01-13,B1003,21.0,315.0
2023-01-13,D1003,6.0,60.0
2023-01-14,A1001,1.0,167.0
2023-01-14,A1002,3.0,272.0
2023-01-14,A1004,3.0,349.0
2023-01-14,A1034,3.0,923.0
2023-01-14,B1002,10.0,209.0
2023-01-14,B1003,18.0,275.0
2023-01-14,D1003,8.0,75.0
2023-01-15,A1001,1.0,167.0
2023-01-15,A1002,3.0,272.0
2023-01-15,A1004,3.0,349.0
2023-01-15,A1034,3.0,923.0
2023-01-15,B1002,10.0,209.0
2023-01-15,B1003,18.0,275.0
2023-01-15,D1003,8.0,75.0
2023-01-16,A1001,3.0,450.0
2023-01-16,A1002,3.0,272.0
2023-01-16,A1004,10.0,1390.0
2023-01-16,A1034,3.0,1050.0
2023-01-16,B1002,17.0,340.0
2023-01-16,B1003,29.0,435.0
2023-01-16,D1003,12.0,120.0
2023-01-17,A1001,4.0,600.0
2023-01-17,A1002,6.0,600.0
2023-01-17,A1004,3.0,417.0
2023-01-17,A1034,3.0,923.0
2023-01-17,B1002,14.0,280.0
2023-01-17,B1003,22.0,330.0
2023-01-17,D1003,12.0,120.0
2023-01-18,A1001,1.0,167.0
2023-01-18,A1002,4.0,400.0
2023-01-18,A1004,2.0,278.0
2023-01-18,A1034,1.0,350.0
2023-01-18,B1002,8.0,160.0
2023-01-18,B1003,13.0,195.0
2023-01-18,D1003,7.0,70.0
2023-01-19,A1001,1.0,150.0
2023-01-19,A1002,3.0,272.0
2023-01-19,A1004,3.0,417.0
2023-01-19,A1034,5.0,1750.0
2023-01-19,B1002,12.0,240.0
2023-01-19,B1003,18.0,270.0
2023-01-19,D1003,13.0,130.0
2023-01-20,A1001,1.0,150.0
2023-01-20,A1002,6.0,600.0
2023-01-20,A1004,4.0,556.0
2023-01-20,A1034,5.0,1750.0
2023-01-20,B1002,10.0,200.0
2023-01-20,B1003,19.0,285.0
2023-01-20,D1003,8.0,75.0
2023-01-21,A1001,1.0,167.0
2023-01-21,A1002,2.0,200.0
2023-01-21,A1004,2.0,278.0
2023-01-21,A1034,1.0,350.0
2023-01-21,B1002,12.0,240.0
2023-01-21,B1003,22.0,330.0
2023-01-21,D1003,12.0,120.0
2023-01-22,A1001,1.0,167.0
2023-01-22,A1002,3.0,272.0
2023-01-22,A1004,3.0,349.0
2023-01-22,A1034,3.0,923.0
2023-01-22,B1002,10.0,209.0
2023-01-22,B1003,18.0,275.0
2023-01-22,D1003,8.0,75.0
2023-01-23,A1001,2.0,300.0
2023-01-23,A1002,4.0,400.0
2023-01-23,A1004,1.0,139.0
2023-01-23,A1034,4.0,1400.0
2023-01-23,B1002,12.0,240.0
2023-01-23,B1003,17.0,255.0
2023-01-23,D1003,6.0,60.0
2023-01-24,A1001,4.0,600.0
2023-01-24,A1002,3.0,272.0
2023-01-24,A1004,10.0,1390.0
2023-01-24,A1034,3.0,1050.0
2023-01-24,B1002,17.0,340.0
2023-01-24,B1003,28.0,420.0
2023-01-24,D1003,12.0,120.0
2023-01-25,A1001,1.0,167.0
2023-01-25,A1002,5.0,500.0
2023-01-25,A1004,1.0,139.0
2023-01-25,A1034,3.0,1050.0
2023-01-25,B1002,16.0,320.0
2023-01-25,B1003,22.0,330.0
2023-01-25,D1003,7.0,70.0
2023-01-26,A1001,1.0,150.0
2023-01-26,A1002,2.0,200.0
2023-01-26,A1004,2.0,278.0
2023-01-26,A1034,3.0,1050.0
2023-01-26,B1002,6.0,120.0
2023-01-26,B1003,19.0,285.0
2023-01-26,D1003,8.0,75.0
2023-01-27,A1001,1.0,167.0
2023-01-27,A1002,2.0,200.0
2023-01-27,A1004,3.0,349.0
2023-01-27,A1034,3.0,923.0
2023-01-27,B1002,9.0,180.0
2023-01-27,B1003,15.0,225.0
2023-01-27,D1003,6.0,60.0
2023-01-28,A1001,1.0,167.0
2023-01-28,A1002,4.0,400.0
2023-01-28,A1004,2.0,278.0
2023-01-28,A1034,4.0,1400.0
2023-01-28,B1002,13.0,260.0
2023-01-28,B1003,24.0,360.0
2023-01-28,D1003,9.0,90.0
2023-01-29,A1001,1.0,167.0
2023-01-29,A1002,3.0,272.0
2023-01-29,A1004,3.0,349.0
2023-01-29,A1034,3.0,923.0
2023-01-29,B1002,10.0,209.0
2023-01-29,B1003,18.0,275.0
2023-01-29,D1003,8.0,75.0
2023-01-30,A1001,1.0,150.0
2023-01-30,A1002,5.0,500.0
2023-01-30,A1004,6.0,834.0
2023-01-30,A1034,4.0,1400.0
2023-01-30,B1002,12.0,240.0
2023-01-30,B1003,26.0,390.0
2023-01-30,D1003,11.0,110.0
2023-01-31,A1001,1.0,150.0
2023-01-31,A1002,3.0,272.0
2023-01-31,A1004,3.0,417.0
2023-01-31,A1034,5.0,1750.0
2023-01-31,B1002,19.0,380.0
2023-01-31,B1003,26.0,390.0
2023-01-31,D1003,13.0,130.0
2023-02-01,A1001,1.0,167.0
2023-02-01,A1002,6.0,600.0
2023-02-01,A1004,2.0,278.0
2023-02-01,A1034,4.0,1400.0
2023-02-01,B1002,22.0,440.0
2023-02-01,B1003,28.0,420.0
2023-02-01,D1003,7.0,70.0
2023-02-02,A1001,1.0,167.0
2023-02-02,A1002,5.0,500.0
2023-02-02,A1004,3.0,417.0
2023-02-02,A1034,4.0,1400.0
2023-02-02,B1002,15.0,300.0
2023-02-02,B1003,29.0,435.0
2023-02-02,D1003,3.0,30.0
2023-02-03,A1001,1.0,167.0
2023-02-03,A1002,6.0,600.0
2023-02-03,A1004,5.0,695.0
2023-02-03,A1034,3.0,923.0
2023-02-03,B1002,23.0,460.0
2023-02-03,B1003,26.0,390.0
2023-02-03,D1003,11.0,110.0
2023-02-04,A1001,2.0,300.0
2023-02-04,A1002,2.0,200.0
2023-02-04,A1004,3.0,417.0
2023-02-04,A1034,2.0,700.0
2023-02-04,B1002,15.0,300.0
2023-02-04,B1003,21.0,315.0
2023-02-04,D1003,8.0,80.0
2023-02-05,A1001,1.0,167.0
2023-02-05,A1002,3.0,272.0
2023-02-05,A1004,3.0,349.0
2023-02-05,A1034,3.0,923.0
2023-02-05,B1002,10.0,209.0
2023-02-05,B1003,18.0,275.0
2023-02-05,D1003,8.0,75.0
2023-02-06,A1001,2.0,300.0
2023-02-06,A1002,5.0,500.0
2023-02-06,A1004,6.0,834.0
2023-02-06,A1034,4.0,1400.0
2023-02-06,B1002,12.0,240.0
2023-02-06,B1003,23.0,345.0
2023-02-06,D1003,11.0,110.0
2023-02-07,A1001,1.0,167.0
2023-02-07,A1002,5.0,500.0
2023-02-07,A1004,1.0,139.0
2023-02-07,A1034,3.0,1050.0
2023-02-07,B1002,17.0,340.0
2023-02-07,B1003,23.0,345.0
2023-02-07,D1003,12.0,120.0
2023-02-08,A1001,1.0,150.0
2023-02-08,A1002,3.0,272.0
2023-02-08,A1004,4.0,556.0
2023-02-08,A1034,4.0,1400.0
2023-02-08,B1002,9.0,180.0
2023-02-08,B1003,22.0,330.0
2023-02-08,D1003,12.0,120.0
2023-02-09,A1001,1.0,167.0
2023-02-09,A1002,6.0,600.0
2023-02-09,A1004,5.0,695.0
2023-02-09,A1034,3.0,923.0
2023-02-09,B1002,23.0,460.0
2023-02-09,B1003,26.0,390.0
2023-02-09,D1003,11.0,110.0
2023-02-10,A1001,4.0,600.0
2023-02-10,A1002,6.0,600.0
2023-02-10,A1004,3.0,417.0
2023-02-10,A1034,3.0,923.0
2023-02-10,B1002,13.0,260.0
2023-02-10,B1003,25.0,375.0
2023-02-10,D1003,12.0,120.0
2023-02-11,A1001,2.0,300.0
2023-02-11,A1002,3.0,300.0
2023-02-11,A1004,3.0,417.0
2023-02-11,A1034,3.0,1050.0
2023-02-11,B1002,13.0,260.0
2023-02-11,B1003,20.0,300.0
2023-02-11,D1003,9.0,90.0
2023-02-12,A1001,1.0,167.0
2023-02-12,A1002,3.0,272.0
2023-02-12,A1004,3.0,349.0
2023-02-12,A1034,3.0,923.0
2023-02-12,B1002,10.0,209.0
2023-02-12,B1003,18.0,275.0
2023-02-12,D1003,8.0,75.0
2023-02-13,A1001,1.0,150.0
2023-02-13,A1002,5.0,500.0
2023-02-13,A1004,4.0,556.0
2023-02-13,A1034,6.0,2100.0
2023-02-13,B1002,14.0,280.0
2023-02-13,B1003,28.0,420.0
2023-02-13,D1003,12.0,120.0
2023-02-14,A1001,2.0,300.0
2023-02-14,A1002,7.0,700.0
2023-02-14,A1004,5.0,695.0
2023-02-14,A1034,6.0,2100.0
2023-02-14,B1002,13.0,260.0
2023-02-14,B1003,20.0,300.0
2023-02-14,D1003,8.0,75.0
2023-02-15,A1001,1.0,167.0
2023-02-15,A1002,3.0,300.0
2023-02-15,A1004,3.0,417.0
2023-02-15,A1034,3.0,1050.0
2023-02-15,B1002,12.0,240.0
2023-02-15,B1003,18.0,270.0
2023-02-15,D1003,9.0,90.0
2023-02-16,A1001,1.0,167.0
2023-02-16,A1002,1.0,100.0
2023-02-16,A1004,1.0,139.0
2023-02-16,A1034,3.0,1050.0
2023-02-16,B1002,8.0,160.0
2023-02-16,B1003,21.0,315.0
2023-02-16,D1003,7.0,70.0
2023-02-17,A1001,1.0,150.0
2023-02-17,A1002,3.0,300.0
2023-02-17,A1004,1.0,139.0
